,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alpaca,Altre_fibre,Carta,Cashmere,Cotone,Cuoio,Elastan,Fibra_metallizzata,Lana,Lino,Lyocell,Modacrilico,Modal,Pelo_di_yak,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Coppie
2980,0,top,Magliette e Top,H&M,top smanicato in spugna,7.99,Null,"Poliestere 50%, Cotone 50%",Rosa,2476,https://www2.hm.com/it_it/productpage.1079787001.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2981,0,top,Magliette e Top,H&M,canotta corta,4.99,Null,"Cotone 95%, Elastan 5%",Nero,2485,https://www2.hm.com/it_it/productpage.0979860001.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2982,0,top,Magliette e Top,H&M,top corto in felpa,9.99,3.99,"Poliestere 53%, Cotone 47%",Ciano,2488,https://www2.hm.com/it_it/productpage.0977761003.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2983,0,top,Magliette e Top,H&M,top corto in felpa,9.99,3.99,"Poliestere 53%, Cotone 47%",Ciano,2488,https://www2.hm.com/it_it/productpage.0977761003.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2984,0,top,Magliette e Top,H&M,top corto seamless,14.99,Null,"Poliammide 95%, Elastan 5%",Beige,2494,https://www2.hm.com/it_it/productpage.1021368001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliammide
2985,0,top,Magliette e Top,H&M,top corto con sezioni aperte,14.99,Null,"Poliestere 93%, Elastan 7%",Blu,2498,https://www2.hm.com/it_it/productpage.1075761001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2986,0,top,Magliette e Top,H&M,top halterneck corto,7.99,3.99,"Poliestere 94%, Elastan 6%",Beige,2499,https://www2.hm.com/it_it/productpage.0996897003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2987,0,top,Magliette e Top,H&M,top halterneck corto,7.99,4.99,"Poliestere 94%, Elastan 6%",Nero,2499,https://www2.hm.com/it_it/productpage.0996897003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2988,0,top,Magliette e Top,H&M,top halterneck corto,7.99,Null,"Poliestere 94%, Elastan 6%",Bianco,2499,https://www2.hm.com/it_it/productpage.0996897003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2989,0,top,Magliette e Top,H&M,top halterneck corto,7.99,Null,"Poliestere 92%, Elastan 8%",Rosa,2499,https://www2.hm.com/it_it/productpage.0996897003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2990,0,top,Magliette e Top,H&M,top halterneck corto,7.99,4.99,"Poliestere 94%, Elastan 6%",Blu,2499,https://www2.hm.com/it_it/productpage.0996897003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
