,Unnamed: 0,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acrilico,Alluminio,Altre_fibre,Cashmere,Cotone,Cuoio,Lana,Lino,Lyocell,Modal,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Materiale
20,21,0,abiti,Vestiti,H&M,chemisier incrociato in satin,24.99,Null,Poliestere 100%,Giallo,2050,https://www2.hm.com/it_it/productpage.1088102002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
21,22,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Nero,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
22,23,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Nero,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
23,24,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Beige,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
24,25,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Rosso,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
25,26,0,abiti,Vestiti,H&M,abito con maniche a palloncino,39.99,Null,Cotone 100%,Rosso,2052,https://www2.hm.com/it_it/productpage.1087843002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
26,27,0,abiti,Vestiti,H&M,abito con maniche a palloncino,39.99,Null,Cotone 100%,Nero,2052,https://www2.hm.com/it_it/productpage.1087843002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
27,28,0,abiti,Vestiti,H&M,abito in denim con colletto,34.99,Null,Cotone 100%,Blu,2055,https://www2.hm.com/it_it/productpage.1071018001.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
28,29,0,abiti,Vestiti,H&M,mama abito in jersey a costine,22.99,Null,Cotone 100%,Nero,2057,https://www2.hm.com/it_it/productpage.1088836001.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
29,30,0,abiti,Vestiti,H&M,mama abito in jersey a costine,22.99,Null,Cotone 100%,Rosa,2057,https://www2.hm.com/it_it/productpage.1088836001.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
30,31,0,abiti,Vestiti,H&M,abito incrociato increspato,29.99,Null,Poliestere 100%,Bianco,2063,https://www2.hm.com/it_it/productpage.1121190004.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
31,32,0,abiti,Vestiti,H&M,abito incrociato in satin,34.99,Null,Viscosa 100%,Verde,2065,https://www2.hm.com/it_it/productpage.1099476004.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
32,33,0,abiti,Vestiti,H&M,abito incrociato in satin,34.99,Null,Viscosa 100%,Nero,2065,https://www2.hm.com/it_it/productpage.1099476004.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
33,34,0,abiti,Vestiti,H&M,abito plissettato con cintura da annodare,49.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2066,https://www2.hm.com/it_it/productpage.1091153003.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
34,35,0,abiti,Vestiti,H&M,abito plissettato con cintura da annodare,49.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Giallo,2066,https://www2.hm.com/it_it/productpage.1091153003.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
35,36,0,abiti,Vestiti,H&M,abito in lana merinos,99.0,Null,Lana 100%,Nero,2069,https://www2.hm.com/it_it/productpage.1106628002.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lana
36,37,0,abiti,Vestiti,H&M,abito in chiffon,39.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Ciano,2070,https://www2.hm.com/it_it/productpage.1086252001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
37,38,0,abiti,Vestiti,H&M,abito a tunica in satin,27.99,Null,Poliestere 100%,Blu,2072,https://www2.hm.com/it_it/productpage.1086251005.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
38,39,0,abiti,Vestiti,H&M,abito a tunica in satin,27.99,Null,Poliestere 100%,Nero,2072,https://www2.hm.com/it_it/productpage.1086251005.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
39,40,0,abiti,Vestiti,H&M,abito in chiffon al polpaccio,49.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Beige,2075,https://www2.hm.com/it_it/productpage.1078005002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
40,41,0,abiti,Vestiti,H&M,abito in chiffon al polpaccio,49.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Blu,2075,https://www2.hm.com/it_it/productpage.1078005002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
41,42,0,abiti,Vestiti,H&M,abito in denim con cintura,34.99,Null,Cotone 100%,Blu,2082,https://www2.hm.com/it_it/productpage.1079575001.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
