,index,Unnamed: 0,...1,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alluminio,Alpaca,Altre_fibre,Canapa,Carta,Cashmere,Cotone,Cuoio,Elastan,Elastodiene,Elastomultiestere,Etilenvinilacetato,Fibra_di_acido_polilattico,Fibra_di_asclepiade,Fibra_metallizzata,Fibre_non_specificate,Lana,Lattice,Lino,Lyocell,Modacrilico,Modal,Mohair,Paglia,Pelo_di_yak,Piuma,Piumino,Poliammide,Policarbonato,Poliestere,Polietilene,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti
12,12,13,13,0,abiti,Vestiti,H&M,abito in tessuto crêpe a volant,39.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Giallo,2026,https://www2.hm.com/it_it/productpage.1058469002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,14,14,0,abiti,Vestiti,H&M,abito a sottoveste increspato,39.99,Null,Poliestere 100%,Bianco,2027,https://www2.hm.com/it_it/productpage.1059009001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,15,15,0,abiti,Vestiti,H&M,abito con cintura con strass,59.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Rosa,2028,https://www2.hm.com/it_it/productpage.1040279001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,16,16,0,abiti,Vestiti,H&M,abito in misto seta,129,Null,"Acetato 59%, Seta 41%",Nero,2029,https://www2.hm.com/it_it/productpage.1010562001.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
16,16,17,17,0,abiti,Vestiti,H&M,abito in satin con smock,39.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Grigio,2030,https://www2.hm.com/it_it/productpage.0985204004.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,18,18,0,abiti,Vestiti,H&M,abito a spalle scoperte,19.99,Null,"Poliestere 51%, Acrilico 41%, Lana 6%, Elastan 2%",Arancione,2031,https://www2.hm.com/it_it/productpage.1115105001.html,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
18,18,19,19,0,abiti,Vestiti,H&M,abito con scollo squadrato,39.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 77%, Viscosa 16%, Elastan 7%",Rosa,2033,https://www2.hm.com/it_it/productpage.1107834001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
19,19,20,20,0,abiti,Vestiti,H&M,chemisier oversize,19.99,Null,"Viscosa 76%, Poliestere 24%",Grigio,2034,https://www2.hm.com/it_it/productpage.1103334005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
20,20,21,21,0,abiti,Vestiti,H&M,chemisier oversize,19.99,Null,Cotone 100%,Beige,2034,https://www2.hm.com/it_it/productpage.1103334005.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,22,22,0,abiti,Vestiti,H&M,chemisier oversize,19.99,Null,Cotone 100%,Rosso,2034,https://www2.hm.com/it_it/productpage.1103334005.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,23,23,0,abiti,Vestiti,H&M,abito in maglia a coste,34.99,Null,"Poliestere 53%, Acrilico 45%, Lana 2%",Beige,2035,https://www2.hm.com/it_it/productpage.1088795001.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
23,23,24,24,0,abiti,Vestiti,H&M,abito in maglia a coste con cerniera in alto.,39.99,Null,"Poliestere 50%, Acrilico 37%, Poliammide 10%, Lana 3%",Grigio,2036,https://www2.hm.com/it_it/productpage.1112448002.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
24,24,25,25,0,abiti,Vestiti,H&M,abito in maglia a coste con cerniera in alto.,39.99,Null,"Poliestere 50%, Acrilico 37%, Poliammide 10%, Lana 3%",Giallo,2036,https://www2.hm.com/it_it/productpage.1112448002.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
25,25,26,26,0,abiti,Vestiti,H&M,abito in maglia pointelle,39.99,Null,"Poliestere 67%, Poliammide 13%, Acrilico 13%, Lana 7%",Giallo,2037,https://www2.hm.com/it_it/productpage.1106080001.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
