,index,Unnamed: 0,...1,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alluminio,Alpaca,Altre_fibre,Canapa,Carta,Cashmere,Cotone,Cuoio,Elastan,Elastodiene,Elastomultiestere,Etilenvinilacetato,Fibra_di_acido_polilattico,Fibra_di_asclepiade,Fibra_metallizzata,Fibre_non_specificate,Lana,Lattice,Lino,Lyocell,Modacrilico,Modal,Mohair,Paglia,Pelo_di_yak,Piuma,Piumino,Poliammide,Policarbonato,Poliestere,Polietilene,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti
2838,2838,2839,2839,0,camicie e camicette,Camicie,H&M,camicia velluto oversize,19.99,Null,Cotone 100%,Marrone,2317,https://www2.hm.com/it_it/productpage.0964161015.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2839,2839,2840,2840,0,camicie e camicette,Camicie,H&M,camicia velluto oversize,19.99,Null,Cotone 100%,Verde,2317,https://www2.hm.com/it_it/productpage.0964161015.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2840,2840,2841,2841,0,camicie e camicette,Camicie,H&M,camicia corta,9.99,3.99,Cotone 100%,Nero,2318,https://www2.hm.com/it_it/productpage.0996021001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2841,2841,2842,2842,0,camicie e camicette,Camicie,H&M,camicia utility corta,19.99,Null,Cotone 100%,Bianco,2319,https://www2.hm.com/it_it/productpage.1081677001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2842,2842,2843,2843,0,camicie e camicette,Camicie,H&M,camicia utility corta,19.99,Null,"Poliestere 96%, Elastan 4%",Verde,2319,https://www2.hm.com/it_it/productpage.1081677001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2843,2843,2844,2844,0,camicie e camicette,Camicie,H&M,h&m+ camicia in satin,19.99,Null,"Poliestere 95%, Elastan 5%",Nero,2320,https://www2.hm.com/it_it/productpage.1116073001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2844,2844,2845,2845,0,camicie e camicette,Camicie,H&M,giacca-camicia in denim,29.99,Null,Cotone 100%,Nero,2323,https://www2.hm.com/it_it/productpage.0970652001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2845,2845,2846,2846,0,camicie e camicette,Camicie,H&M,giacca-camicia in denim,29.99,Null,Cotone 100%,Blu,2323,https://www2.hm.com/it_it/productpage.0970652001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2846,2846,2847,2847,0,camicie e camicette,Camicie,H&M,camicia in flanella di cotone,19.99,Null,Cotone 100%,Nero,2327,https://www2.hm.com/it_it/productpage.0981943002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2847,2847,2848,2848,0,camicie e camicette,Camicie,H&M,camicia in flanella di cotone,19.99,Null,Cotone 100%,Marrone,2327,https://www2.hm.com/it_it/productpage.0981943002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2848,2848,2849,2849,0,camicie e camicette,Camicie,H&M,camicia corta arricciata,14.99,Null,"Cotone 98%, Elastan 2%",Bianco,2328,https://www2.hm.com/it_it/productpage.1079800001.html,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2849,2849,2850,2850,0,camicie e camicette,Camicie,H&M,camicia corta arricciata,14.99,Null,"Cotone 98%, Elastan 2%",Marrone,2328,https://www2.hm.com/it_it/productpage.1079800001.html,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2850,2850,2851,2851,0,camicie e camicette,Camicie,H&M,camicia oversize in pelle,299.00,Null,Cuoio 100%,Nero,2329,https://www2.hm.com/it_it/productpage.1029710001.html,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2851,2851,2852,2852,0,camicie e camicette,Camicie,H&M,camicia oversize in pelle,299.00,179.00,Cuoio 100%,Blu,2329,https://www2.hm.com/it_it/productpage.1029710001.html,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2852,2852,2853,2853,0,camicie e camicette,Camicie,H&M,h&m+ camicia lunga in cotone,24.99,Null,Cotone 100%,Bianco,2331,https://www2.hm.com/it_it/productpage.0984132001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2853,2853,2854,2854,0,camicie e camicette,Camicie,H&M,h&m+ camicia lunga in cotone,24.99,10.99,Cotone 100%,Verde,2331,https://www2.hm.com/it_it/productpage.0984132001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2854,2854,2855,2855,0,camicie e camicette,Camicie,H&M,h&m+ camicia sciancrata in twill,19.99,Null,"Viscosa 67%, Poliammide 28%, Elastan 5%",Nero,2333,https://www2.hm.com/it_it/productpage.1100541001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2855,2855,2856,2856,0,camicie e camicette,Camicie,H&M,h&m+ camicetta con arricciature,14.99,6.99,"Poliestere 95%, Elastan 5%",Nero,2336,https://www2.hm.com/it_it/productpage.1040351001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2856,2856,2857,2857,0,camicie e camicette,Camicie,H&M,camicia con coulisse,24.99,10.99,Cotone 100%,Nero,2337,https://www2.hm.com/it_it/productpage.1009785002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2857,2857,2858,2858,0,camicie e camicette,Camicie,H&M,camicia in cotone,24.99,Null,Cotone 100%,Blu,2338,https://www2.hm.com/it_it/productpage.1005175003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2858,2858,2859,2859,0,camicie e camicette,Camicie,H&M,giacca-camicia oversize,29.99,Null,Poliestere 100%,Nero,2339,https://www2.hm.com/it_it/productpage.1008768002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2859,2859,2860,2860,0,camicie e camicette,Camicie,H&M,h&m+ camicia oversize di cotone,24.99,Null,Cotone 100%,Rosa,2340,https://www2.hm.com/it_it/productpage.1064923002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2860,2860,2861,2861,0,camicie e camicette,Camicie,H&M,camicia in velluto a costine,24.99,14.99,Cotone 100%,Giallo,2342,https://www2.hm.com/it_it/productpage.0948106002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2861,2861,2862,2862,0,camicie e camicette,Camicie,H&M,camicia corta,29.99,Null,Cotone 100%,Bianco,2344,https://www2.hm.com/it_it/productpage.1072507002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2862,2862,2863,2863,0,camicie e camicette,Camicie,H&M,camicia in misto seta,99.00,Null,"Acetato 58%, Seta 42%",Grigio,2348,https://www2.hm.com/it_it/productpage.1019545002.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
2863,2863,2864,2864,0,camicie e camicette,Camicie,H&M,camicia in misto seta,99.00,58.99,"Acetato 58%, Seta 42%",Nero,2348,https://www2.hm.com/it_it/productpage.1019545002.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
2864,2864,2865,2865,0,camicie e camicette,Camicie,H&M,giacca-camicia in twill,34.99,Null,"Poliestere 64%, Viscosa 35%, Elastan 1%",Grigio,2350,https://www2.hm.com/it_it/productpage.1019599003.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
2865,2865,2866,2866,0,camicie e camicette,Camicie,H&M,camicia corta in velluto a coste,19.99,Null,Cotone 100%,Rosa,2351,https://www2.hm.com/it_it/productpage.1041813001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2866,2866,2867,2867,0,camicie e camicette,Camicie,H&M,camicia oversize,39.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 68%, Viscosa 31%, Elastan 1%",Beige,2360,https://www2.hm.com/it_it/productpage.1135717001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
2867,2867,2868,2868,0,camicie e camicette,Camicie,H&M,camicia oversize in pelle,299.00,Null,Cuoio 100%,Bianco,2361,https://www2.hm.com/it_it/productpage.1100997001.html,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2868,2868,2869,2869,0,camicie e camicette,Camicie,H&M,camicia oversize misto lana,89.99,Null,"Lana 55%, Cotone 45%",Grigio,2362,https://www2.hm.com/it_it/productpage.1015847001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2869,2869,2870,2870,0,camicie e camicette,Camicie,H&M,camicetta in satin,19.99,Null,Poliestere 100%,Rosso,2363,https://www2.hm.com/it_it/productpage.1088883005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2870,2870,2871,2871,0,camicie e camicette,Camicie,H&M,camicetta in satin,19.99,Null,Poliestere 100%,Giallo,2363,https://www2.hm.com/it_it/productpage.1088883005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2871,2871,2872,2872,0,camicie e camicette,Camicie,H&M,camicetta in satin,19.99,Null,Poliestere 100%,Nero,2363,https://www2.hm.com/it_it/productpage.1088883005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2872,2872,2873,2873,0,camicie e camicette,Camicie,H&M,camicetta goffrata con nodo,19.99,Null,"Poliestere 73%, Poliammide 27%",Bianco,2364,https://www2.hm.com/it_it/productpage.1096594001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2873,2873,2874,2874,0,camicie e camicette,Camicie,H&M,camicetta goffrata con nodo,19.99,Null,"Poliestere 73%, Poliammide 27%",Nero,2364,https://www2.hm.com/it_it/productpage.1096594001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2874,2874,2875,2875,0,camicie e camicette,Camicie,H&M,camicetta oversize,24.99,Null,"Viscosa 70%, Poliestere 30%",Grigio,2365,https://www2.hm.com/it_it/productpage.1103763001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2875,2875,2876,2876,0,camicie e camicette,Camicie,H&M,gonna con paillettes,29.99,Null,"Poliestere 95%, Elastan 5%",Nero,2366,https://www2.hm.com/it_it/productpage.1116506001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2876,2876,2877,2877,0,camicie e camicette,Camicie,H&M,camicetta incrociata in cotone,29.99,Null,Cotone 100%,Bianco,2367,https://www2.hm.com/it_it/productpage.1048754003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2877,2877,2878,2878,0,camicie e camicette,Camicie,H&M,camicetta alla coreana in satin,14.99,Null,Poliestere 100%,Bianco,2368,https://www2.hm.com/it_it/productpage.1088810002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2878,2878,2879,2879,0,camicie e camicette,Camicie,H&M,camicetta alla coreana in satin,14.99,Null,Poliestere 100%,Blu,2368,https://www2.hm.com/it_it/productpage.1088810002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2879,2879,2880,2880,0,camicie e camicette,Camicie,H&M,camicetta alla coreana in satin,14.99,Null,Poliestere 100%,Nero,2368,https://www2.hm.com/it_it/productpage.1088810002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2880,2880,2881,2881,0,camicie e camicette,Camicie,H&M,camicetta in satin,29.99,Null,Poliestere 100%,Beige,2369,https://www2.hm.com/it_it/productpage.1090706001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2881,2881,2882,2882,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Ciano,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2882,2882,2883,2883,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Blu,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2883,2883,2884,2884,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Rosa,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2884,2884,2885,2885,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Verde,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2885,2885,2886,2886,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Nero,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2886,2886,2887,2887,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Marrone,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2887,2887,2888,2888,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Verde,2371,https://www2.hm.com/it_it/productpage.0939703047.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2888,2888,2889,2889,0,camicie e camicette,Camicie,H&M,camicetta con volant,44.99,Null,Poliestere 100%,Nero,2372,https://www2.hm.com/it_it/productpage.1137402001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2889,2889,2890,2890,0,camicie e camicette,Camicie,H&M,camicetta con volant,44.99,Null,Poliestere 100%,Rosa,2372,https://www2.hm.com/it_it/productpage.1137402001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2890,2890,2891,2891,0,camicie e camicette,Camicie,H&M,camicetta jacquard,34.99,Null,Viscosa 100%,Marrone,2374,https://www2.hm.com/it_it/productpage.1123418001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2891,2891,2892,2892,0,camicie e camicette,Camicie,H&M,camicetta oversize,19.99,Null,Poliestere 100%,Beige,2375,https://www2.hm.com/it_it/productpage.1085808003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2892,2892,2893,2893,0,camicie e camicette,Camicie,H&M,camicetta oversize,19.99,Null,Poliestere 100%,Bianco,2375,https://www2.hm.com/it_it/productpage.1085808003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2893,2893,2894,2894,0,camicie e camicette,Camicie,H&M,camicetta oversize,19.99,Null,Poliestere 100%,Verde,2375,https://www2.hm.com/it_it/productpage.1085808003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2894,2894,2895,2895,0,camicie e camicette,Camicie,H&M,camicetta oversize,19.99,Null,Poliestere 100%,Nero,2375,https://www2.hm.com/it_it/productpage.1085808003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2895,2895,2896,2896,0,camicie e camicette,Camicie,H&M,camicetta oversize,19.99,Null,Poliestere 100%,Arancione,2375,https://www2.hm.com/it_it/productpage.1085808003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2896,2896,2897,2897,0,camicie e camicette,Camicie,H&M,h&m+ camicetta plissettata in chiffon,29.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2376,https://www2.hm.com/it_it/productpage.1113159002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2897,2897,2898,2898,0,camicie e camicette,Camicie,H&M,h&m+ camicetta plissettata in chiffon,29.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Rosa,2376,https://www2.hm.com/it_it/productpage.1113159002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2898,2898,2899,2899,0,camicie e camicette,Camicie,H&M,camicetta maniche a palloncino,24.99,Null,"Poliestere 53%, Viscosa 47%",Ciano,2380,https://www2.hm.com/it_it/productpage.1086153005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2899,2899,2900,2900,0,camicie e camicette,Camicie,H&M,camicetta maniche a palloncino,24.99,Null,"Poliestere 53%, Viscosa 47%",Giallo,2380,https://www2.hm.com/it_it/productpage.1086153005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2900,2900,2901,2901,0,camicie e camicette,Camicie,H&M,camicetta maniche a palloncino,24.99,Null,"Poliestere 53%, Viscosa 47%",Blu,2380,https://www2.hm.com/it_it/productpage.1086153005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2901,2901,2902,2902,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Giallo,2381,https://www2.hm.com/it_it/productpage.0939703055.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2902,2902,2903,2903,0,camicie e camicette,Camicie,H&M,camicetta con nodo,17.99,Null,Poliestere 100%,Nero,2383,https://www2.hm.com/it_it/productpage.1112046005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2903,2903,2904,2904,0,camicie e camicette,Camicie,H&M,camicetta con nodo,17.99,Null,Poliestere 100%,Nero,2383,https://www2.hm.com/it_it/productpage.1112046005.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2904,2904,2905,2905,0,camicie e camicette,Camicie,H&M,camicetta con scollo a v,19.99,Null,"Poliestere 96%, Elastan 4%",Beige,2385,https://www2.hm.com/it_it/productpage.0939703057.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2905,2905,2906,2906,0,camicie e camicette,Camicie,H&M,camicetta chiffon plissettato,29.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2386,https://www2.hm.com/it_it/productpage.1090640004.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2906,2906,2907,2907,0,camicie e camicette,Camicie,H&M,camicetta chiffon plissettato,29.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Ciano,2386,https://www2.hm.com/it_it/productpage.1090640004.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2907,2907,2908,2908,0,camicie e camicette,Camicie,H&M,camicetta chiffon plissettato,29.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Rosa,2386,https://www2.hm.com/it_it/productpage.1090640004.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2908,2908,2909,2909,0,camicie e camicette,Camicie,H&M,camicetta corta in cotone,24.99,17.99,Cotone 100%,Bianco,2387,https://www2.hm.com/it_it/productpage.1063264002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2909,2909,2910,2910,0,camicie e camicette,Camicie,H&M,camicetta corta in cotone,24.99,15.99,Cotone 100%,Rosso,2387,https://www2.hm.com/it_it/productpage.1063264002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2910,2910,2911,2911,0,camicie e camicette,Camicie,H&M,camicetta corta in cotone,24.99,14.99,Cotone 100%,Blu,2387,https://www2.hm.com/it_it/productpage.1063264002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
